電號,台號,台名,用電地址
電號▲,台號,台名,用電地址
21-54-1939-37-9,None,None,苗栗縣大湖鄉南湖村台電桿湖坑５２旁既有電信桿
21-71-1018-56-0,None,None,苗栗縣通霄鎮通灣里台電桿白沙屯 １３８旁既有電信桿
21-81-4081-20-3,None,None,苗栗縣通霄鎮五南里五南９２號旁既有電信桿
21-07-2479-05-9,None,None,苗栗縣苗栗市水源里水源３７號對面既有電信桿
21-17-2150-65-8,403803L,苗栗福麗里108S,苗栗縣苗栗市福麗里１７鄰梅園１號南側６０公尺
21-18-1609-90-1,None,None,苗栗縣頭屋鄉明德路１３１號前電信桿
21-20-1381-55-8,None,None,苗栗縣頭屋鄉北坑村田窩橋左側３００公尺電信桿
21-20-2381-50-5,None,None,苗栗縣頭屋鄉飛鳳村曲洞桿５７(Ｄ８０３４ＨＢ６８桿旁)
21-27-5390-98-6,4088D,頭份武昌,頭份市武昌街２９號頂樓
21-32-2320-99-2,3998U,竹南中美西門,苗栗縣竹南鎮中美里西門15-7號4樓頂
21-33-3178-99-2,7698U,竹南大厝獅山,苗栗縣竹南鎮大厝里獅山70-23號樓頂
21-34-1313-92-6,4007U,竹南溫內,竹南鎮港墘里12鄰塭內36-11號
21-34-3268-02-6,None,None,苗栗縣竹南鎮中美里保安林３０號右側１００Ｍ既有電信桿
21-50-1886-15-6,None,None,苗栗縣南庄鄉南江村小東河１７之２號前電信桿
21-52-0313-15-3,9002U,獅潭香圓窩S,苗栗縣獅潭鄉豐林村香圓窩8號50公尺電信桿
21-55-0622-51-5,None,None,苗栗縣泰安鄉錦水村橫龍山龍山２４左側既有電線桿
21-57-3994-10-3,None,None,苗栗縣公館鄉北河村北河１０７號後方１００公尺電信桿
21-57-4117-12-5,None,None,苗栗縣公館鄉北河村福德寺對面電信桿（北河幹３３）
21-60-2515-87-8,3809U,銅鑼三座厝,苗栗縣銅鑼鄉竹森村竹森4鄰30之13號2樓
21-71-1456-25-3,None,西湖西湖BBU4-二,苗栗縣西湖鄉二湖村坪頂33號右前電信桿(內島57右7低2)
21-74-1983-03-8,408960L,通霄五北里S,苗栗縣通霄鎮五北里五北８４號旁電信桿(五北２A支２０)
21-76-0008-44-6,7603U,山腳BBU4舊社RR,苗栗縣苑裡鎮泰田里泰田一路與泰田十路口
21-76-0008-45-7,7603U,山腳BBU4舊社RR,苗栗縣苑裡鎮泰田里泰田112-6號對面
21-76-0008-46-8,7603U,山腳BBU4舊社RR,苗栗縣苑裡鎮山腳里山腳31號左側30公尺
21-76-0008-49-1,3808U,山腳BBU2-社苓R,苗栗縣苑裡鎮山柑里山柑68號左側20M
21-76-0008-58-3,408905L,苑裡水坡里S,苗栗縣苑裡鎮水坡里水坡４４－１號邊(水坡６１邊)
21-76-0008-59-4,408908_L,苑裡福田里S,苗栗縣苑裡鎮福田里福田５７－１號(苑連１８８左支１邊)
21-76-0008-61-8,408907L,苑裡新復里S,苗栗縣苑裡鎮新復里新復１３４號邊(房裡６８左支５邊)
21-76-0008-74-3,None,None,苗栗縣苑裡鎮中山路２４３號前（中山支７電信桿）
21-87-0249-61-2,403808L,苑裡山柑里108S,苗栗縣苑裡鎮山柑里玉山五路與玉山１４路口西側１１０Ｍ電信桿
